gene_name,TCGA-35-5375-01A,TCGA-55-A4DF-01A,TCGA-95-8039-01A,TCGA-MP-A4T4-01A,TCGA-62-A471-01A,TCGA-L9-A5IP-01A,TCGA-50-5936-01A,TCGA-49-AARR-01A,TCGA-78-8662-01A,TCGA-05-4430-01A,TCGA-44-7659-01A,TCGA-44-6146-01A,TCGA-L9-A50W-01A,TCGA-75-7025-01A,TCGA-05-4424-01A,TCGA-62-A46P-01A,TCGA-38-4627-01A,TCGA-86-8073-01A,TCGA-69-7765-01A,TCGA-44-5645-01B,TCGA-55-6984-01A,TCGA-69-7764-01A,TCGA-NJ-A4YI-01A,TCGA-86-A4P7-01A,TCGA-55-8620-01A,TCGA-97-8177-01A,TCGA-50-6595-01A,TCGA-55-A492-01A,TCGA-78-7633-01A,TCGA-97-A4LX-01A,TCGA-78-7220-01A,TCGA-53-7624-01A,TCGA-49-AARN-01A,TCGA-62-A46R-01A,TCGA-78-7156-01A,TCGA-50-8457-01A,TCGA-91-8496-01A,TCGA-55-8092-01A,TCGA-75-5122-01A,TCGA-NJ-A4YQ-01A,TCGA-50-5072-01A,TCGA-91-6831-01A,TCGA-91-A4BD-01A,TCGA-69-8255-01A,TCGA-69-8253-01A,TCGA-86-A4D0-01A,TCGA-78-8640-01A,TCGA-97-8174-01A,TCGA-55-6987-01A,TCGA-49-6744-01A,TCGA-55-8096-01A,TCGA-J2-8192-01A,TCGA-44-7671-01A,TCGA-44-2662-01B,TCGA-93-A4JN-01A,TCGA-49-AAR9-01A,TCGA-86-A4P8-01A,TCGA-44-5645-01A,TCGA-78-7158-01A,TCGA-80-5611-01A,TCGA-44-4112-01A,TCGA-71-6725-01A,TCGA-44-2656-01A,TCGA-05-5715-01A,TCGA-64-5815-01A,TCGA-55-7816-01A,TCGA-95-7948-01A,TCGA-05-4432-01A,TCGA-99-8033-01A,TCGA-78-7143-01A,TCGA-73-4668-01A,TCGA-44-5644-01A,TCGA-38-4625-01A,TCGA-91-8499-01A,TCGA-86-6851-01A,TCGA-44-6779-01A,TCGA-78-7537-01A,TCGA-05-4434-01A,TCGA-67-3773-01A,TCGA-55-6983-01A,TCGA-05-5425-01A,TCGA-97-A4M2-01A,TCGA-50-5941-01A,TCGA-78-7539-01A,TCGA-67-3771-01A,TCGA-55-8299-01A,TCGA-05-5429-01A,TCGA-93-A4JO-01A,TCGA-44-A47A-01A,TCGA-44-2662-01A,TCGA-86-A4JF-01A,TCGA-05-4402-01A,TCGA-97-8179-01A,TCGA-55-7914-01A,TCGA-49-4490-01A,TCGA-55-8090-01A,TCGA-MP-A4TC-01A,TCGA-64-1681-01A,TCGA-99-AA5R-01A,TCGA-49-4486-01A,TCGA-91-6847-01A,TCGA-05-4249-01A,TCGA-91-A4BC-01A,TCGA-55-7570-01A,TCGA-50-5049-01A,TCGA-86-8672-01A,TCGA-55-7727-01A,TCGA-86-8674-01A,TCGA-53-A4EZ-01A,TCGA-69-7761-01A,TCGA-50-5942-01A,TCGA-69-A59K-01A,TCGA-05-4245-01A,TCGA-44-2666-01A,TCGA-50-5944-01A,TCGA-50-6592-01A,TCGA-62-8395-01A,TCGA-05-4410-01A,TCGA-55-6975-01A,TCGA-73-4662-01A
LAMB4,0.0824,0.0328,0.0862,0.0085,0.5437,0.0526,0.2973,0.2942,0.0605,0.1604,0.0485,0.0673,0.0898,0.0941,0.1139,0.1474,0.138,0.1179,0.2199,0.2831,0.0528,0.0945,0.0,0.3145,0.1854,0.1327,0.3886,0.1016,0.3054,0.0375,1.4465,0.1424,0.0634,0.0294,0.0521,0.1398,0.0515,0.2161,0.1219,0.0663,0.4955,0.069,0.0992,0.2681,0.0922,0.0088,0.2972,0.229,0.1789,0.1381,0.2625,0.0754,0.0731,1.0969,0.1105,0.0464,0.5356,0.054,0.0492,0.0,0.1093,0.0965,0.1023,0.1005,0.0994,1.1059,0.0403,0.0738,0.1237,0.0565,0.0479,0.0423,1.12,0.202,0.1458,0.0979,0.0977,0.0557,0.0157,0.1091,0.5946,0.0427,0.0789,0.0216,0.1315,0.5232,0.1377,0.205,0.0255,0.0626,0.115,0.0875,0.1044,0.0717,0.2666,0.0737,0.0973,0.0664,0.205,0.0392,0.0877,0.129,0.0332,0.0682,0.1704,0.029,0.1449,0.0243,0.0212,0.0287,0.0766,0.1196,0.0786,0.1658,0.0828,0.1212,0.1904,0.029,0.2109,0.0476
LCT,0.0352,0.0,0.0283,0.6054,0.0537,0.0468,0.0,0.0108,0.0646,0.0819,2.0182,0.0287,1.9253,0.2653,0.0675,0.0143,0.0245,0.1809,0.0741,0.1942,0.0,0.1729,0.0172,1.9321,0.2242,0.4654,0.0864,0.0,2.6142,0.0701,0.0268,0.0506,0.169,0.8166,0.0,1.1518,4.956,0.0329,0.0911,0.0505,0.0324,0.0295,1.7194,0.0508,0.0,0.0752,0.122,0.0,0.0217,0.1579,0.6734,0.1608,0.0,0.5508,0.6679,0.0124,0.022,0.125,12.4038,0.015,0.2782,0.0137,0.1092,0.1072,0.4773,0.0761,0.0172,0.0484,0.0556,0.6998,0.0256,0.015,0.0054,0.2653,0.0674,0.0418,0.0065,3.2528,5.9234,0.0146,0.0244,0.1003,1.6419,1.0133,0.1824,0.0199,0.0,0.0875,11.8872,0.0167,0.5567,3.8663,0.0,8.4639,3.2179,0.0852,0.1268,1.0942,0.0398,0.0574,0.0374,0.0602,0.0265,0.0728,0.3273,0.0309,1.6782,0.0777,0.0529,0.0306,10.3717,0.5833,0.2339,0.0965,3.9631,0.0431,0.0254,0.2319,0.0188,0.4119
LPA,0.018,0.0,0.0362,0.0,0.0329,0.0191,0.0,0.7305,0.0,0.0,0.0,0.0,0.0802,0.0513,0.0276,0.0,0.0251,0.0482,0.0253,0.0882,0.0,0.0147,0.0,0.0312,0.0404,0.0276,0.0,0.0185,0.0,0.0205,0.0823,0.0129,0.0173,0.0107,0.0,0.0085,0.379,0.0,0.0133,0.0,0.011,0.0,0.0541,0.066,0.0,0.0384,0.0,0.0197,0.0,0.0108,0.0305,0.0374,0.0,0.4575,0.01,0.0,0.0787,0.0197,0.0,0.0,0.0,0.0,0.0,0.0,0.0181,0.0486,0.0088,0.0309,0.0071,0.0123,0.0,0.0,0.0056,0.0339,0.0053,0.0,0.0,0.4364,0.0171,0.0,0.0125,0.0932,0.0287,0.0,0.0717,0.0,0.0,0.0224,0.0834,0.0,0.0386,0.0053,0.019,0.0,0.0364,0.0335,0.0,0.0241,0.1016,0.0053,0.0,0.0704,0.0,0.0,0.0093,0.0,0.0226,0.0,0.0,0.0,0.0,0.0466,0.0,0.0,0.0,0.011,0.026,0.0316,0.0,0.0231
LRFN5,0.1507,0.2878,0.4853,0.2905,0.023,0.0201,0.425,0.8354,0.0519,0.5504,0.1294,0.1077,0.084,0.5839,0.5355,0.0,0.6224,0.7839,0.2779,3.5836,0.1057,0.1235,0.3313,0.3705,0.0707,0.2168,0.5184,0.0097,0.1412,0.2467,0.3452,0.095,0.2717,0.2244,0.2085,0.6393,0.1324,0.2294,0.0697,0.3467,0.451,0.221,0.0,0.1038,0.2853,0.1208,0.2091,2.2873,0.2185,0.5977,0.3001,0.7285,0.2675,3.6152,0.6526,0.0664,0.9186,0.9991,0.0788,0.0962,0.1058,0.0294,0.8189,0.3256,0.682,0.5609,0.0645,0.1622,0.1266,0.2845,0.1042,0.0484,0.2096,0.1599,0.2389,0.1343,0.0908,0.3996,0.2331,0.3509,0.2484,0.3713,0.376,0.1316,0.1353,0.3098,0.1749,0.5508,0.1895,0.34,0.1315,0.2503,0.1791,0.293,0.1715,0.316,0.1977,0.2615,0.5646,0.0168,0.0602,0.2859,0.3602,0.1671,0.3994,0.116,0.3786,0.0416,0.0162,0.2839,0.6426,0.2246,0.2364,0.3103,0.521,0.4272,0.5035,0.2154,0.5025,0.526
LRP1,12.311,47.6875,52.4145,63.6247,21.2949,33.2869,102.3647,80.1144,27.8309,63.412,27.7125,70.5991,53.836,75.3255,147.3958,22.9469,114.4532,105.5249,91.831,69.9057,54.2894,37.1543,92.8031,78.7806,29.8505,56.0027,81.9491,13.6176,43.8909,118.8373,39.5216,46.9252,35.9208,20.8351,25.1625,93.351,22.8661,49.364,49.2333,65.6344,58.7398,98.2188,13.3764,20.8653,25.9344,24.228,45.2335,155.666,41.3582,81.0978,108.5206,167.8088,67.0349,111.8883,86.1684,58.1349,154.7325,93.5533,28.7611,44.4405,27.8929,19.8534,42.0589,58.4163,158.6134,220.2419,28.4489,58.2682,52.4194,41.7842,59.8698,26.0725,26.342,15.1025,59.8904,87.8336,36.3437,55.7508,20.0209,54.7585,33.2582,98.22,77.5602,51.5043,57.3064,111.3011,19.9021,65.4181,44.5045,131.4532,29.3021,54.7766,56.8259,41.0909,42.5727,44.3839,107.6994,39.3012,64.6254,5.4578,21.7005,67.219,46.3536,34.7017,36.9487,59.6331,11.7439,25.475,18.0971,98.0463,83.2858,58.2751,37.0062,48.753,150.1773,133.2535,115.8995,51.5343,93.7155,42.0715
LRP1B,0.8346,0.0,0.0085,0.0036,0.2464,0.0188,0.008,0.0784,0.0065,0.0389,0.0208,0.0231,0.007,0.5855,0.0326,0.1151,0.079,0.4652,0.0149,0.2691,0.0057,0.0,0.0,0.0123,0.0424,0.0054,0.0348,0.1817,0.0391,0.004,3.9579,0.3972,0.0612,0.0,0.7829,0.0567,0.0,0.0044,0.1413,0.0285,0.7901,0.0059,0.0053,0.0631,0.0349,0.0113,0.0,0.0414,0.007,0.0127,0.0168,0.0294,0.182,1.011,0.0079,0.0448,0.0265,0.0425,0.0,0.7405,0.0144,0.0,0.0,0.0072,0.0,0.0383,0.0104,0.0487,0.4333,0.0097,0.0041,0.0121,0.0,1.1342,0.0083,0.7225,0.0524,0.0087,0.0067,0.079,0.0,0.022,0.0113,0.0,3.3922,0.0241,0.0,0.0132,0.0164,0.0034,0.0114,0.0,0.0075,0.0,0.0072,0.0,0.0093,0.0222,0.004,0.2206,0.064,0.0069,1.1957,1.1207,0.0037,0.0,0.0267,0.0156,0.0061,0.0041,0.1097,0.0843,1.754,0.3494,0.0533,0.7759,0.0409,0.0062,0.0604,0.0045
LRP2,0.0503,9.9474,3.8383,4.2296,0.2062,0.0,1.5388,5.519,0.2177,1.3378,20.6863,12.6231,3.0888,0.3046,11.2539,0.8646,0.4043,8.9635,1.1905,2.8023,0.6503,3.3658,0.87,2.7954,0.5763,6.9315,0.3881,1.7345,4.5602,8.1942,1.7269,15.3508,0.511,0.0043,14.4374,1.9834,1.3683,0.1188,1.7962,0.9786,4.3372,17.9511,1.6802,3.0985,1.827,10.3576,1.0412,5.9714,12.5802,0.8726,0.0268,8.1811,3.6734,2.0669,3.1576,0.2226,1.0414,2.5127,5.9932,2.6957,5.2277,0.1514,20.31,6.0303,0.8521,82.5062,0.1546,3.7361,0.6472,6.9295,0.0752,1.1618,0.7544,1.7476,0.0529,0.0,0.0825,1.5692,25.1179,2.0539,1.2111,3.8251,1.3528,0.1035,2.4469,8.1852,0.0,0.4467,2.0667,0.058,1.6458,2.9529,2.9882,0.8353,1.5831,1.8789,0.5794,2.6496,4.2637,8.0355,0.9598,4.4251,2.8434,0.3396,0.1448,0.0126,46.2518,0.0635,8.4676,0.0458,12.6315,40.8414,0.885,25.7679,5.6387,0.2157,10.6948,0.3284,0.0306,18.7206
LRRC4C,0.108,0.3299,0.7128,0.555,0.066,0.161,0.2436,1.7956,0.0794,0.4207,0.4026,0.1763,0.2355,2.2372,0.8296,0.2987,5.115,4.5125,0.4552,1.3252,0.2077,0.5132,0.8652,0.5622,0.2916,0.2154,0.5306,0.0555,0.1448,0.6395,0.2308,0.4043,0.5192,0.2186,0.1878,0.8144,0.0,0.2158,0.1758,0.5713,0.8617,0.6516,0.0162,0.136,0.2417,0.2539,0.0899,1.0188,0.4051,0.724,0.6076,1.2393,0.9678,1.8607,0.9171,0.5478,0.8776,0.6849,0.2452,0.1103,0.43,0.1349,0.5984,0.2196,1.0859,0.8417,0.2748,5.4958,0.1622,0.1779,0.1508,2.0338,0.2803,0.163,0.5223,0.4105,0.4725,0.7435,0.4522,3.5223,0.1649,0.4257,0.5,0.2546,0.6549,0.7961,0.1404,4.2455,0.3509,0.5745,0.626,0.4654,0.1597,0.4299,0.4368,0.3945,0.1558,0.3965,0.7694,0.077,3.784,0.7294,0.0978,3.2178,1.0833,0.2851,0.3255,0.0318,0.0464,0.651,0.653,0.2239,0.1789,0.2569,1.0136,0.6751,1.4664,0.5699,0.7143,0.7001
LRRC7,0.0385,0.0844,0.062,0.0574,0.0494,0.0677,0.0217,0.0545,0.0566,0.044,0.1473,0.022,0.0591,0.0895,0.071,0.047,0.0555,0.1809,0.1623,0.8505,0.0555,0.0883,0.0489,0.118,0.1155,0.0487,0.0341,0.0277,0.0228,0.0899,0.097,0.0638,0.622,0.0711,0.07,0.0327,0.0662,0.1154,0.0427,0.0376,0.0355,0.1355,0.0174,0.0475,0.0279,0.0864,0.0588,0.0394,0.0494,0.0553,0.0848,0.0881,0.0376,2.1412,0.2108,0.0597,0.1613,0.0737,0.0667,0.0459,0.2909,0.0586,0.1122,0.0235,0.0271,0.0792,0.0358,0.1034,0.1035,0.1771,0.0661,0.1483,0.0476,0.3995,0.05,0.0183,0.0628,0.1432,0.033,0.0606,0.0508,0.0819,0.0277,0.0219,0.086,0.0939,0.025,0.1557,0.1966,0.0896,0.0558,0.0716,0.0366,0.0742,0.0779,0.0746,0.1111,0.0603,0.0697,0.0217,0.3158,0.0716,0.1046,0.1138,0.0398,0.0474,0.1741,0.0454,0.0414,0.0781,0.0179,0.1517,1.1974,0.074,0.0581,0.0708,0.0807,0.0508,0.0164,0.1644
LRRIQ1,0.0526,1.3541,0.789,1.4199,0.1286,0.1261,1.2464,23.9891,0.0483,3.4591,7.1768,0.0859,0.1239,7.5969,1.4655,0.1391,0.5999,2.2189,0.2126,21.5847,0.9804,0.3018,1.0283,0.8371,1.5098,0.318,1.3186,0.1217,0.2231,0.5019,0.221,0.5778,0.9994,0.8383,0.416,1.0355,0.2774,0.3245,0.0876,0.817,0.7914,1.4442,2.0389,0.1209,0.1602,0.8296,0.0639,0.4667,0.6819,0.3071,0.1873,0.5197,2.3639,3.7609,0.0809,0.38,1.3734,7.243,0.3144,2.3965,0.9873,0.4365,0.5027,0.1605,0.1058,0.8189,0.7598,0.7021,1.0972,6.4558,0.4057,0.7208,0.1341,1.3402,0.1474,0.0,0.4683,0.8815,0.0376,3.1039,0.2283,2.0266,0.6301,0.3561,0.1575,0.3656,0.8429,3.1343,0.0,0.6248,0.1059,2.5126,0.1806,0.0573,0.2661,0.7257,0.302,4.1591,0.2604,0.168,3.9723,0.9659,0.6288,0.0389,0.4898,0.3589,2.1481,0.0291,0.0057,1.2506,4.3651,1.0298,0.1288,0.4995,1.2238,2.2334,0.2566,1.8398,0.0,0.8275
LRRTM4,0.0214,0.0994,0.0172,0.022,0.0131,0.0342,0.0482,0.237,0.0982,0.2535,0.0,0.1746,0.0636,0.2267,0.4107,0.0348,0.0995,0.1148,0.03,0.4723,0.0514,0.0701,0.0627,0.4081,0.417,0.0492,0.042,0.0769,0.2362,0.0609,0.0326,0.0,0.1234,0.0255,0.2536,0.0504,0.1336,0.0668,0.0475,0.0123,0.1312,0.1254,0.0,0.0168,0.0422,0.0686,0.0,0.5552,0.153,0.064,0.029,0.3467,0.1044,0.3768,0.0119,0.0753,1.2431,0.0585,0.0128,0.091,0.1092,0.0083,0.1124,0.0,0.129,0.0116,0.0733,0.0736,0.0085,0.1174,0.0249,0.0,0.0529,1.2303,0.0315,0.2032,0.2458,0.0854,0.0814,0.0089,0.0297,0.1996,0.0512,0.0373,0.0,0.0485,0.0993,0.3192,0.0331,0.0102,0.0,0.4292,0.1355,0.0399,0.0,0.0239,0.1823,0.0957,0.7255,0.0127,0.0342,0.0419,0.0,0.0,0.0442,0.0753,0.1343,0.0315,0.0,0.0,0.0332,0.0,0.0805,0.1663,0.1075,0.2097,0.1236,0.0,0.1597,0.0069
LTBP1,15.3014,25.3725,26.3466,27.2595,22.0004,39.5242,76.1709,45.1492,51.2814,58.0369,13.3302,32.6222,7.6686,56.3816,133.0343,16.522,127.8263,46.732,46.8792,77.5459,23.2254,37.4747,13.8897,33.4559,10.1907,43.377,95.5711,4.3608,8.4326,22.8406,31.1996,59.7804,17.6963,13.2277,7.8163,42.0196,23.0629,22.0608,21.0526,12.5009,83.8757,68.9192,2.736,4.5368,21.2292,5.3086,9.5237,23.7357,20.4106,46.026,64.9153,121.3722,23.4681,50.738,82.243,37.7663,25.6659,77.6792,7.0256,42.065,69.4958,44.1184,26.1919,27.5607,35.0337,18.1509,38.48,33.2073,22.8873,49.9177,29.022,8.032,12.1808,30.2197,12.9672,77.0036,24.3289,50.0991,16.5423,32.1054,22.3763,12.6807,18.9384,14.2014,23.2917,86.4809,29.8782,28.762,24.7972,25.4975,16.1731,34.1013,58.1357,17.303,56.0561,44.6776,41.2947,75.6553,28.1751,2.212,81.0853,53.776,26.4628,27.3356,41.3688,46.3518,17.9344,8.999,4.7576,45.4814,38.3832,15.139,10.7635,26.1353,244.5027,78.925,39.9562,19.7872,78.6225,20.4978
LYST,1.669,6.3525,10.1599,10.5881,2.602,3.8415,2.8602,5.3136,0.8127,4.3,8.2113,12.6787,6.0527,8.9304,5.5049,2.0392,2.4395,8.032,13.4649,71.3828,3.1666,5.4272,11.0178,8.1635,3.8222,6.2992,4.2828,2.5127,4.9108,8.1336,3.0662,3.567,7.3782,10.8242,5.185,7.6388,6.0195,2.2945,7.7254,3.0758,2.8382,5.3378,3.4743,2.4426,3.8106,3.6718,1.6694,7.0158,4.3669,4.5049,7.3328,13.3991,3.5979,51.3423,8.0141,14.7177,10.0908,18.6891,7.1032,6.8277,5.4618,4.4934,28.2733,8.916,5.48,10.1455,4.9448,2.6278,2.3312,11.9166,3.0819,2.0902,2.4675,1.8637,5.3988,3.2084,2.8668,4.6351,4.4346,4.7994,3.1722,6.0384,6.61,10.9495,3.6569,5.1673,4.5507,7.3779,15.2852,5.199,11.0162,3.4942,8.5087,4.3765,3.6144,4.9109,7.8454,5.406,6.5533,1.9815,4.1018,8.2184,4.718,2.7755,2.9581,2.6364,19.2526,3.4147,1.8052,6.5058,5.8341,4.9102,2.894,8.9844,6.099,5.6786,5.1032,6.2457,2.5484,2.7124
MACF1,2.3006,21.7145,30.9548,26.4429,12.1019,18.2529,21.1096,32.5887,12.3849,12.2303,24.1006,56.8877,22.9532,28.0889,30.0881,11.3339,11.7802,36.5794,26.2544,196.3715,22.4972,14.0262,29.453,34.1369,13.7326,16.6094,25.3204,5.7797,17.3007,32.589,18.6734,32.2668,21.5165,19.5609,16.0494,34.5443,9.5495,11.6898,14.1539,9.159,20.1809,25.9693,8.9885,7.32,17.0159,14.3779,18.1055,66.0478,14.7671,26.6807,23.2266,51.476,20.2778,146.5126,42.059,25.17,72.5418,91.76,22.8243,17.0566,10.5004,17.3406,70.4313,15.2283,31.2492,35.9408,13.4822,14.8848,14.5996,30.3468,15.1773,50.4719,11.3044,9.7148,26.396,34.6126,11.6475,15.8446,8.5736,15.1392,6.3381,27.6661,25.8457,24.2062,11.7696,29.2111,18.9421,19.6507,44.1208,31.0685,11.7924,19.101,22.6835,26.4225,17.0749,39.9278,18.7448,21.8893,40.6789,3.4332,47.9679,21.4167,11.3043,20.8477,8.2728,12.547,39.8235,8.1009,13.4217,21.9324,39.9482,26.3192,14.4867,50.2752,43.8795,20.6,35.8656,18.4624,22.4813,32.6647
MAGEC1,0.0815,0.0,0.0219,0.0,0.4484,0.0,0.0307,0.0,0.0,1.3464,0.0,0.0,0.0,0.0111,0.2297,0.0,0.0253,0.0608,0.0191,0.0,0.0,0.0223,0.0266,0.0157,58.7156,0.0,0.2404,0.0,0.0,0.0155,0.1867,0.3327,0.0261,0.0,0.0,0.0,0.0,0.628,0.0402,0.0625,0.3003,0.4328,0.0,0.0642,0.0,0.0581,0.0377,0.0,0.0,0.0325,0.9766,0.1921,0.0121,2.4481,0.0607,0.0383,0.017,0.0,0.0,0.0,0.0,0.976,0.0,0.0,0.0,0.0,0.0,0.0374,0.0215,0.0,0.174,0.1396,0.0252,9.3581,0.2325,0.1291,0.0202,0.0251,0.0,0.0,0.0755,0.0,0.1519,0.0,0.0217,0.0771,0.0,0.0,0.0,7.9394,0.0,2.3348,1.2918,0.0,1.4843,0.0,0.0891,0.0487,0.0307,0.0,0.0289,0.0133,0.0,0.0643,0.0281,0.0,0.0,0.0,0.0,0.0158,0.0,0.0,5.2803,0.0,0.0228,0.0167,0.0,0.0,0.116,0.0436
MAP2,21.4842,29.6349,10.3124,3.7279,12.4758,29.0922,3.3164,4.7565,4.601,3.8388,4.6931,2.4488,1.2628,6.5075,8.5313,0.606,15.5787,224.1177,6.851,7.5536,1.1075,2.4416,5.2193,3.3904,28.9376,3.0459,3.554,13.6005,64.9891,10.4423,18.4523,35.1731,5.0047,40.4663,31.3996,3.4787,3.1765,1.8363,4.316,1.2793,11.4851,1.9549,5.3315,0.8258,7.3039,29.4586,28.5663,3.5664,1.6063,4.1775,3.5184,6.7693,37.1242,3.5697,17.7766,11.7947,11.9052,1.9881,2.9395,11.1718,8.5316,1.3734,11.321,1.4648,2.5725,6.7593,16.4405,16.1357,9.8834,14.1807,3.4308,13.3745,0.3725,12.7868,4.4978,4.0632,0.9122,18.4007,1.9405,2.203,1.551,3.457,5.7195,8.568,63.3719,1.812,1.5199,1.7438,3.5716,0.419,1.3152,11.2611,71.3975,2.5363,11.5775,3.6022,7.5286,14.383,8.1752,14.0106,17.564,1.3817,9.7889,47.8824,2.6152,30.627,11.4123,8.9241,42.6033,2.9828,3.0015,83.5757,16.7093,3.0221,30.9994,22.9717,29.5848,5.1037,21.4689,14.64
MARCHF1,5.0172,9.0816,7.5284,6.0134,2.7675,1.4839,5.1706,3.3633,1.2033,9.5832,4.1388,1.722,2.7339,5.215,11.7,2.1584,10.2884,7.7623,6.0668,39.4085,2.0815,2.0921,5.282,5.7402,3.8801,7.0055,8.6826,0.7873,5.6701,11.3268,3.6609,3.3009,3.6078,6.0087,2.2028,4.7977,8.8158,4.7796,24.037,4.1424,4.0473,5.0605,3.9586,3.3709,2.0168,3.8618,3.0881,6.1863,8.0685,8.9174,5.6289,11.1927,1.773,60.6629,4.6765,1.9083,12.664,12.6721,4.0121,11.4145,3.9046,2.2443,21.3846,5.0107,6.7757,18.0981,2.885,3.8299,3.6374,7.1614,1.6149,1.1688,6.7469,8.1673,5.9744,7.0277,1.7039,12.3131,4.9552,6.8691,6.6563,8.8895,10.1726,5.6757,6.6349,8.7499,1.4327,7.0364,7.7548,12.1,3.0684,7.7857,3.7164,3.1278,1.5155,4.4147,4.9002,4.7271,5.5551,0.5309,1.7557,10.9533,3.3957,1.5291,13.7641,3.409,8.1563,0.8995,2.4337,7.5412,3.1669,3.2916,1.5575,3.1586,4.2884,6.3475,4.4417,6.4147,3.174,7.1536
MDGA2,0.0,0.1038,0.0,0.0,0.008,0.0278,0.0,0.0,0.2274,0.0938,0.0,0.0,0.0,0.0053,0.0601,0.0,0.0061,0.0,0.0,0.032,0.0104,0.0,0.0,0.0075,0.088,0.005,0.0,0.0067,0.0051,0.0074,0.0,0.6662,0.0,0.0,0.0103,0.0,0.0,0.0081,0.0,0.0,0.6559,0.0,0.0098,0.0103,0.0086,0.007,0.0,0.0048,0.0032,0.0,0.0,0.0054,0.0058,0.4338,0.0,1.1568,0.0244,0.0,0.0,1.8636,0.0865,0.0,0.0,0.0,0.0393,0.0282,0.0,0.0,0.0,0.0179,0.0,0.0,0.0081,0.0369,0.0,0.0,0.1449,0.02,0.0,0.0,0.009,0.0,0.0,0.0057,0.416,0.0074,0.0,0.0,0.0,0.0062,0.0,0.0539,0.0069,0.0081,0.0,0.0,0.0,0.0,0.0295,0.0,0.0069,0.0,0.0852,0.0,0.0135,0.0,0.0491,0.0,0.0,0.0,0.0,0.0338,0.0589,0.0,0.0109,0.7428,0.0188,0.0,0.0139,0.0084
MGA,2.1036,11.1412,8.5253,5.6723,8.8463,10.356,9.875,7.531,8.8379,7.209,13.6578,13.345,7.7066,7.9485,13.7144,4.4254,5.0039,8.849,5.4969,67.0971,5.7612,13.6135,11.1546,9.4088,7.9636,4.6916,7.9855,4.0787,8.197,7.497,19.4573,20.3657,6.201,6.3106,9.5855,12.6583,4.0175,6.6852,4.4815,8.1772,10.4349,12.6977,2.3568,9.9524,8.7038,7.8767,7.3701,11.2519,5.3297,12.3146,8.2527,11.5539,7.8273,42.2566,10.0368,15.4864,9.7136,34.9996,10.3715,9.1936,6.28,9.1473,26.3494,9.8343,4.9691,12.0614,9.8539,6.4291,10.2609,11.987,4.7728,11.5962,6.4276,11.4613,4.6483,8.4772,5.1369,11.7171,3.0315,9.0088,4.7394,6.1593,10.6305,6.593,9.3405,9.3581,4.789,7.3626,5.9118,9.1577,4.7383,7.4985,8.7766,9.221,6.6806,2.1154,6.1386,6.7673,5.6922,2.7528,11.866,13.0105,3.8117,16.0911,4.9001,6.8107,12.9564,7.2173,6.1925,9.6985,11.9751,8.2626,8.1342,13.857,10.5064,10.5517,7.4458,7.6724,9.6701,8.7035
MGAM,0.7413,0.899,0.2638,0.1491,0.1641,0.2003,0.1818,0.3308,1.2633,0.5049,0.0843,3.1842,0.5803,0.1665,0.5282,0.0175,0.165,2.0621,0.3245,2.9533,0.3099,0.1144,0.126,1.044,1.1766,0.2308,0.2323,0.0828,0.089,0.0979,0.0492,0.0696,0.217,0.1152,0.034,0.1772,0.151,0.1778,0.318,3.2556,0.2902,0.2251,0.1051,0.1213,0.0955,0.1206,5.1131,0.2632,0.1909,0.2251,0.2804,0.8443,0.2145,5.5537,0.1741,0.386,0.2082,2.1205,0.0706,0.8139,0.1426,0.9603,0.4106,0.3277,0.2593,0.1163,0.142,0.1406,0.0764,0.8332,0.1407,0.1012,0.1228,1.3073,0.0634,0.1404,0.0677,0.2245,0.0614,0.08,0.1939,0.3566,0.1801,0.061,0.583,0.1462,0.6584,0.3208,0.3242,0.6379,0.7843,1.3701,0.0681,0.0668,0.3368,0.8009,0.8245,0.3079,0.3645,0.0128,0.0229,1.2358,0.0324,0.0572,0.1556,0.0756,0.3643,0.0,0.0693,0.9902,0.0999,0.2172,0.1591,0.2408,0.2611,0.2239,0.2561,0.1134,0.2293,0.2034
MMP16,0.2771,0.0571,0.1615,0.6629,0.0934,0.8548,0.6034,1.0826,0.2808,4.1908,0.3187,0.2106,0.3835,1.3091,0.8367,0.171,4.0719,1.0258,1.047,2.3917,0.1072,0.5558,2.2777,0.4421,0.172,0.4545,3.1638,0.1522,0.1583,0.7888,0.3866,0.2339,0.4593,0.4893,0.0453,0.8105,0.0373,0.1521,0.3252,0.0879,0.4105,0.9207,0.0431,0.0527,0.1384,0.5208,0.0398,3.1653,0.125,0.5948,1.2597,5.4145,2.2931,3.0866,1.5053,0.7337,0.1135,0.8619,0.4052,0.1301,0.6341,0.3095,1.1409,0.3982,1.3066,2.834,1.0895,0.4244,0.1737,0.1574,0.6699,0.5071,0.1771,24.756,0.1381,0.4085,0.673,0.508,0.6274,1.7598,0.1525,0.0694,0.7245,0.2336,0.2897,0.6122,0.346,0.4457,0.4878,0.3222,0.2256,0.3215,0.6609,0.3566,1.0048,0.4451,0.7332,0.4064,0.1621,0.0255,5.454,1.5011,0.423,0.6044,0.3853,0.4288,0.84,0.4434,0.078,0.8252,1.1925,0.7479,0.3885,0.5114,1.8815,0.4333,1.8976,0.3445,1.1416,0.5826
